id,cidade,cidade_estado,latitude,longitude,estado,valor
73,MARECHAL DEODORO,MARECHAL DEODORO - AL,-9.71,-35.89,AL,175330.4915
74,MARIBONDO,MARIBONDO - AL,-9.57,-36.3,AL,88605.36439
75,MATA GRANDE,MATA GRANDE - AL,-9.11,-37.73,AL,167555.576
76,MATRIZ DE CAMARAGIBE,MATRIZ DE CAMARAGIBE - AL,-9.15,-35.53,AL,142500.6232
77,MESSIAS,MESSIAS - AL,-9.38,-35.84,AL,70701.99562
78,MINADOR DO NEGRAO,MINADOR DO NEGRAO - AL,-9.3,-36.86,AL,32898.47401
79,MONTEIROPOLIS,MONTEIROPOLIS - AL,-9.6,-37.24,AL,42542.28742
80,MURICI,MURICI - AL,-9.3,-35.94,AL,142537.8513
81,NOVO LINO,NOVO LINO - AL,-8.91,-35.64,AL,71238.27995
82,OLHO D'AGUA DAS FLORES,OLHO D'AGUA DAS FLORES - AL,-9.53,-37.29,AL,112223.263
83,OLHO D'AGUA DO CASADO,OLHO D'AGUA DO CASADO - AL,-9.5,-37.83,AL,41443.88799
84,OLHO D'AGUA GRANDE,OLHO D'AGUA GRANDE - AL,-10.05,-36.81,AL,27696.59156
85,OLIVENCA,OLIVENCA - AL,-9.51,-37.19,AL,64589.40629
86,OURO BRANCO,OURO BRANCO - AL,-9.16,-37.35,AL,61094.59066
87,PALESTINA,PALESTINA - AL,-9.67,-37.32,AL,26919.98357
88,PALMEIRA DOS INDIOS,PALMEIRA DOS INDIOS - AL,-9.4,-36.62,AL,421030.2492
89,PAO DE ACUCAR,PAO DE ACUCAR - AL,-9.74,-37.43,AL,162527.1203
90,PARICONHA,PARICONHA - AL,-9.25,-38,AL,56773.8689
91,PARIPUEIRA,PARIPUEIRA - AL,-9.46,-35.55,AL,43322.23285
92,PASSO DE CAMARAGIBE,PASSO DE CAMARAGIBE - AL,-9.23,-35.49,AL,92366.27633
93,PAULO JACINTO,PAULO JACINTO - AL,-9.36,-36.37,AL,61136.27194
94,PENEDO,PENEDO - AL,-10.29,-36.58,AL,374739.2111
95,PIACABUCU,PIACABUCU - AL,-10.4,-36.43,AL,98727.07509
96,PILAR,PILAR - AL,-9.59,-35.95,AL,209352.6685
97,PINDOBA,PINDOBA - AL,-9.47,-36.29,AL,21063.69374
98,PIRANHAS,PIRANHAS - AL,-9.62,-37.75,AL,133323.355
99,POCO DAS TRINCHEIRAS,POCO DAS TRINCHEIRAS - AL,-9.31,-37.28,AL,74023.35755
100,PORTO CALVO,PORTO CALVO - AL,-9.04,-35.39,AL,162082.6856
101,PORTO DE PEDRAS,PORTO DE PEDRAS - AL,-9.15,-35.29,AL,69601.32786
102,PORTO REAL DO COLEGIO,PORTO REAL DO COLEGIO - AL,-10.18,-36.84,AL,115353.9126
103,QUEBRANGULO,QUEBRANGULO - AL,-9.31,-36.47,AL,79447.99925
104,RIO LARGO,RIO LARGO - AL,-9.47,-35.85,AL,404505.7263
105,ROTEIRO,ROTEIRO - AL,-9.83,-35.97,AL,44231.416
106,SANTA LUZIA DO NORTE,SANTA LUZIA DO NORTE - AL,-9.6,-35.82,AL,39357.29682
107,SANTANA DO IPANEMA,SANTANA DO IPANEMA - AL,-9.37,-37.24,AL,236584.9894
108,SANTANA DO MUNDAU,SANTANA DO MUNDAU - AL,-9.16,-36.22,AL,79044.74901
109,SAO BRAS,SAO BRAS - AL,-10.12,-36.9,AL,43749.94163
110,SAO JOSE DA LAJE,SAO JOSE DA LAJE - AL,-9.01,-36.05,AL,145856.8188
111,SAO JOSE DA TAPERA,SAO JOSE DA TAPERA - AL,-9.55,-37.38,AL,177578.3014
112,SAO LUIS DO QUITUNDE,SAO LUIS DO QUITUNDE - AL,-9.31,-35.56,AL,215025.8889
113,SAO MIGUEL DOS CAMPOS,SAO MIGUEL DOS CAMPOS - AL,-9.78,-36.09,AL,327467.8065
114,SAO MIGUEL DOS MILAGRES,SAO MIGUEL DOS MILAGRES - AL,-9.26,-35.37,AL,36363.54657
115,SAO SEBASTIAO,SAO SEBASTIAO - AL,-9.93,-36.55,AL,170897.1622
116,SATUBA,SATUBA - AL,-9.56,-35.82,AL,68602.25566
117,SENADOR RUI PALMEIRA,SENADOR RUI PALMEIRA - AL,-9.35,-37.5,AL,54986.99902
118,TANQUE D'ARCA,TANQUE D'ARCA - AL,-9.53,-36.43,AL,47870.3353
119,TAQUARANA,TAQUARANA - AL,-9.64,-36.49,AL,119104.6332
120,TEOTONIO VILELA,TEOTONIO VILELA - AL,-9.9,-36.35,AL,224462.599
121,TRAIPU,TRAIPU - AL,-9.97,-37,AL,150998.97
122,UNIAO DOS PALMARES,UNIAO DOS PALMARES - AL,-9.16,-36.03,AL,337860.8755
123,VICOSA,VICOSA - AL,-9.37,-36.24,AL,169476.5204
124,ALVARAES,ALVARAES - AM,-3.22,-64.8,AM,82600.6468
125,AMATURA,AMATURA - AM,-3.36,-68.19,AM,40856.16872
126,ANAMA,ANAMA - AM,-3.58,-61.4,AM,46517.39753
127,ANORI,ANORI - AM,-3.77,-61.64,AM,71442.08304
128,APUI,APUI - AM,-7.19,-59.89,AM,76619.95188
129,ATALAIA DO NORTE,ATALAIA DO NORTE - AM,-4.37,-70.19,AM,52195.03085
130,AUTAZES,AUTAZES - AM,-3.58,-59.13,AM,161207.7781
131,BARCELOS,BARCELOS - AM,-0.97,-62.92,AM,102560.1088
132,BARREIRINHA,BARREIRINHA - AM,-2.79,-57.07,AM,126431.7882
133,BENJAMIN CONSTANT,BENJAMIN CONSTANT - AM,-4.38,-70.03,AM,148515.0812
134,BERURI,BERURI - AM,-3.89,-61.37,AM,61613.94937
135,BOA VISTA DO RAMOS,BOA VISTA DO RAMOS - AM,-2.97,-57.59,AM,54480.69619
136,BOCA DO ACRE,BOCA DO ACRE - AM,-8.75,-67.39,AM,169288.6328
137,BORBA,BORBA - AM,-4.38,-59.59,AM,154129.0591
138,CAAPIRANGA,CAAPIRANGA - AM,-3.32,-61.2,AM,42600.02684
139,CANUTAMA,CANUTAMA - AM,-6.53,-64.38,AM,50677.71649
140,CARAUARI,CARAUARI - AM,-4.88,-66.89,AM,140714.1865
141,CAREIRO,CAREIRO - AM,-3.76,-60.36,AM,115025.9988
142,CAREIRO DA VARZEA,CAREIRO DA VARZEA - AM,-3.22,-59.82,AM,117442.5773
143,COARI,COARI - AM,-4.08,-63.14,AM,339396.0181
144,CODAJAS,CODAJAS - AM,-3.83,-62.05,AM,97661.16977
145,EIRUNEPE,EIRUNEPE - AM,-6.66,-69.87,AM,159931.6988
146,ENVIRA,ENVIRA - AM,-7.43,-70.02,AM,124787.1547
147,FONTE BOA,FONTE BOA - AM,-2.51,-66.09,AM,147295.3941
148,GUAJARA,GUAJARA - AM,-7.54,-72.58,AM,69741.09674
149,HUMAITA,HUMAITA - AM,-7.5,-63.02,AM,177504.4556
150,IPIXUNA,IPIXUNA - AM,-7.05,-71.69,AM,68611.15691
151,IRANDUBA,IRANDUBA - AM,-3.28,-60.18,AM,169138.2216
152,ITACOATIARA,ITACOATIARA - AM,-3.14,-58.44,AM,428526.0082
153,ITAMARATI,ITAMARATI - AM,-6.42,-68.25,AM,49869.41917
154,ITAPIRANGA,ITAPIRANGA - AM,-2.74,-58.02,AM,42114.72464
155,JAPURA,JAPURA - AM,-1.82,-66.59,AM,43249.25528
156,JURUA,JURUA - AM,-3.48,-66.06,AM,29024.9809
157,JUTAI,JUTAI - AM,-2.74,-66.76,AM,134622.7318
158,LABREA,LABREA - AM,-7.25,-64.79,AM,185192.8026
159,MANACAPURU,MANACAPURU - AM,-3.3,-60.62,AM,444701.4913
160,MANAQUIRI,MANAQUIRI - AM,-3.42,-60.45,AM,107501.9577
161,MANAUS,MANAUS - AM,-3.1,-60.02,AM,1157357
162,MANICORE,MANICORE - AM,-5.8,-61.3,AM,253224.8735
163,MARAA,MARAA - AM,-1.85,-65.58,AM,86837.31573
164,MAUES,MAUES - AM,-3.38,-57.71,AM,235201.7828
165,NHAMUNDA,NHAMUNDA - AM,-2.18,-56.71,AM,97000.42777
166,NOVA OLINDA DO NORTE,NOVA OLINDA DO NORTE - AM,-3.88,-59.09,AM,124659.6998
167,NOVO AIRAO,NOVO AIRAO - AM,-2.62,-60.94,AM,90626.50855
168,NOVO ARIPUANA,NOVO ARIPUANA - AM,-5.12,-60.38,AM,95633.85703
169,PARINTINS,PARINTINS - AM,-2.62,-56.73,AM,463351.4874
170,PAUINI,PAUINI - AM,-7.71,-66.97,AM,126534.5057
171,PRESIDENTE FIGUEIREDO,PRESIDENTE FIGUEIREDO - AM,-2.03,-60.02,AM,66940.11137
172,RIO PRETO DA EVA,RIO PRETO DA EVA - AM,-2.69,-59.7,AM,62170.86204
